Place_Id,Place_Name,Description,Category,City,Rating,Coordinate,Lat,Long,Price,Image
1,The Keranjang Bali,"Disini Anda akan dapat menemukan banyak spot yang instagramable banget ditambah dengan wisata budaya yang memungkinkan Anda untuk berfoto dengan menggunakan pakaian adat Bali. Untuk yang suka shopping, The Keranjang menghadirkan beragam oleh oleh khas Bali mulai dari pakaian/fashion, kerajinan sampai dengan makanan dan minuman.",Rekreasi,Bali,4,"{'lat' : -8731451, 'lng': 115178175}",-873145,115178175,150000,https://arsitagx-master.s3.ap-southeast-1.amazonaws.com/img-medium/22921/12577/cata-interiors-the-keranjang-bali1571046637-m.jpeg
2,Bukit Campuhan,"Perbukitan yang hijau dipenuhi dengan pepohonan tropis yang lengkap dengan area persawahan dan lembah. Karena tempatnya yang begitu romantis dan eksotis, Bukit Campuhan ini juga dijuluki sebagai Bukit Cinta Campuhan.",Cagar Alam,Bali,,"{'lat' :-873145, 'lng: 11525503} ",-849933,11525503,0,https://3.bp.blogspot.com/-BJETbctdU3k/VcF9eXe6KvI/AAAAAAAAA5s/FqK6HkK-BsI/s1600/%253B%253B%253B%253B%253B.jpg
3,Pantai Pandawa,"Pantai Pandawa yang berpasir putih ini cukup populer akhir-akhir ini karena menawarkan pemandangan yang begitu eksotis dan mempesona. Berada di Desa Kutuh, Kec. Kuta Selatan, Kab. Badung,pantai ini memiliki hamparan garis pantainya yang landai, bersih, serta bibir pantai yang agak luas, sehingga sangat cocok untuk dijadikan wisata bersama keluarga.",Bahari,Bali,4.6,"{'lat' : -884527, 'lng': 11518707}",-884527,11518707,8000,https://arifsetiawan.com/wp-content/uploads/2016/10/Pantai-Pandawa-1-1024x768.jpg
4,Waterbom Bali,"Wisata taman air di Pulau Bali ini sudah 3 tahun berturut-turut mendapatkan title sebagai waterpark terbaik yang ada di Asia serta kedua terbaik di dunia. Sehingga bisa dibayangkan bagaimana keseruan dari wahana-wahana air yang ada di Waterboom Bali. Jika anda menyukai permainan yang dapat menguji adrenalin, maka anda dapat mencoba wsuper bowl, jungle rides, ace track, boomerang, dan masih banyak lainnya.",Bahari,Bali,4.7,"{'lat' : -872857, 'lng' : 11516938}",-872857,11516938,220000,https://www.whitewaterwest.com/wp-content/uploads/2019/11/Hero-Overview-Waterbom-Bali-Kuta-Bali.jpg
5,Garuda Wisnu Kencana,"Garuda Wisnu Kencana atau GWK merupakan salah satu taman wisata budaya yang berada di Bali Selatan. Wisata ini memang cukup populer, terlebih saat ini pembangunan patung raksasai Garuda Wisnu Kencana sudah berhasil diselesaikan.Anda bisa menikmati kemegahan patung karya I Nyoman Nuarta yang juga ditemani dengan keindahan bukit-bukit kapur di sekitarnya. Dan tak hanya itu saja, di GWK terdapat teater seni yang dimana anda bisa melihat berbagai jenis kesenian dan tarian bali setiap harinya.",Sejarah,Bali,4.5,"{'lat' : -881041, 'lng' : 11516760}",-881041,11516760,95000,https://img.jakpost.net/c/2018/11/28/2018_11_28_59559_1543399591._large.jpg
6,Pantai Kuta,"Wisata pantai ini rasanya menjadi salah satu ikon wisata Pulau Dewata. Pesona dan keeksotisan di Pantai Kuta benar-benar tak bisa diragukan lagi. Sehingga tak heran jika setiap harinya pantai Kuta dipenuhi dengan wisatawan lokal maupun asing.Karena itu lah jika anda ingin mengunjungi pantai Kuta, maka anda bisa mencoba menggunakan sepeda motor atau berjalan kaki dari spot-spot tertentu karena memang kawasan ini cukup ramai. Ada banyak aktivitas menarik yang bisa anda lakukan selama berada di Pantai Kuta, mulai dari berjemur, bermain sepak bola pantai atau voli, berselancar, berjemur, dan masih banyak lainnya",Bahari,Bali,4.5,"{'lat' : -871849, 'lng' : 11516863}",-871849,11516863,5000,https://4.bp.blogspot.com/-sAarZ1QaBHo/WdHjsQlNrlI/AAAAAAAAAJ4/jLVcUQKZTL0CTm-t-7kAWmJKJSxltRoOwCLcBGAs/s1600/Pantai-.jpg
7,Pura Besakih,"Pura Besakih tak hanya kental akan suasana religiusnya, namun pemandangannya yang indah dengan latar belakang Gunung Agung. Tak heran jika Pura yang dibangun sejak 1007 Masehi ini masuk ke dalam salah satu warisan Dunia. Karena tempat yang sangat suci, pastikan anda mengenakan pakaian Sopan saat sedang memasuki kawasan ini, Bagi wanita yang sedang haid, tidak diperkenankan untuk memasuki kawasan Pura Besakih.",Sejarah,Bali,4.6,"{'lat' : -837257, 'lng' : 11545252}",-837257,11545252,30000,https://file.mahalo.cz/2013/04/pura-besakih-nejvetsi-a-nejposvatnejsi-hinduisticky-chram-bali.jpg
8,Bali Bird Park,"Wisata keluarga ini dibuka pertama kalinya pada tahun 1995. Berada di area seluas 2 hektar, Bali Bird Park menjadi salah satu taman burung yang terbesar di Indonesia. Kurang lebih terdapat 1.000 satwa dari 250 jenis spesies ungags yang berada di Bali Bird Park.",Cagar Alam,Bali,4.6,"{'lat' : -859997, 'lng' : 11525219}",-859997,11525219,70000,https://1.bp.blogspot.com/-no2L8V-9uJQ/UlxuqLM-xvI/AAAAAAAANrA/OuXSeTKPU8g/s1600/DSCN2434.JPG
9,Bali Safari and Marine Park,"Bali Safari and Marine Park merupakan Taman Safari Indonesia 3 yang menjadi wisata menarik lainnya yang dapat anda kunjungi selama di Bali. Tempat ini menjadi tempat penangkaran bagi hewan-hewan yang rawan punah. Konsep dari Bali Safari and Marine park ini, pengunjung dapat menikmati pengalaman bersafari dimulai dari derah Bali Modern dan kemudian masuk ke daerah Bali kuno yang memberikan beberapa edukasi seputar sejarah, mitos, filosofi, dan lainnya yang berhubungan dengan kehidupan liar.",Cagar Alam,Bali,4.4,"{'lat' : -858079, 'lng' : 11534537}",-858079,11534537,135000,https://www.triptemptation.com/media/4a2e6c37-abf3-4517-97f9-e54d0c0b0008/C9DFow/Blog/Alina/bali-safari/bali-safari-panorama.jpg
10,Pantai Sanur,"Pantai Sanur lokasinya berada di Denpasar bagian timur. Salah satu daya tarik istimewa yang ada di Pantai Sanur ini adalah momen matahari terbitnya yang mempesona. Karena pantai ini buka 24 jam, anda bisa datang kapanpun yang anda inginkan. Sekedar duduk santai sambil menikmati suasana pantai Sanur juga menjadi hal yang menyenangkan yang dapat dilakukan.",Bahari,Bali,4.5,"{'lat' : -870717, 'lng' : 11526262}",-870717,11526262,10000,https://natantransport.com/wp-content/uploads/2019/04/Pantai-Sanur.jpg
