User_Id,Place_Id,Place_Ratings
1,13,3
1,15,2
1,21,5
1,12,3
1,23,4
1,28,2
1,30,5
1,27,4
1,7,2
1,13,5
1,8,3
1,15,5
1,47,3
1,2,5
1,22,5
1,23,4
1,43,4
1,27,3
1,21,3
1,15,2
1,22,3
1,23,3
1,5,4
1,21,5
1,33,2
1,12,2
1,22,4
1,16,2
1,1,2
1,23,2
2,11,2
2,44,5
2,10,4
2,28,3
2,34,4
2,30,3
2,11,5
2,17,2
2,38,2
2,19,2
2,11,3
2,10,2
2,12,5
2,26,2
2,44,3
2,37,5
2,43,5
2,13,4
2,29,3
2,41,2
2,24,2
2,21,5
2,12,4
2,30,2
2,29,2
2,11,2
2,29,5
2,16,3
2,38,3
3,45,5
3,12,5
3,49,5
3,20,3
3,11,3
3,18,5
3,7,2
3,21,3
3,9,3
3,31,2
3,38,2
3,34,2
3,12,3
3,17,4
3,49,2
3,39,4
3,44,5
3,29,3
3,37,4
3,45,2
3,27,2
3,40,2
3,48,3
3,24,4
3,42,5
3,42,3
3,13,3
3,3,3
3,34,4
3,2,5
4,33,2
4,5,2
4,12,4
4,14,4
4,41,3
4,46,5
4,15,3
4,11,3
4,30,4
4,20,3
4,5,5
4,7,4
4,30,3
4,26,5
4,19,3
4,42,2
4,24,5
4,21,3
4,41,2
4,28,2
4,38,3
4,25,5
4,32,5
4,7,5
4,21,2
4,23,2
5,3,4
5,32,2
5,19,5
5,44,2
5,43,4
5,26,3
5,23,5
5,48,5
5,18,4
5,49,5
5,16,3
5,26,5
5,10,3
5,21,3
5,46,3
5,27,2
5,7,5
5,30,2
5,1,3
5,41,2
5,5,4
5,6,2
5,14,4
5,14,2
5,16,4
5,1,4
5,25,3
5,32,3
5,20,4
5,30,2
5,43,3
5,29,3
5,4,3
6,38,4
6,42,2
6,42,2
6,34,2
6,31,3
6,28,3
6,15,2
6,46,5
6,8,4
6,11,5
6,6,2
6,25,5
6,25,5
6,8,5
6,10,2
6,21,4
6,36,4
6,36,5
6,29,5
6,9,5
6,8,2
6,15,2
6,26,4
6,34,3
6,11,2
6,38,5
6,41,4
6,15,2
7,31,5
7,23,3
7,16,3
7,47,3
7,6,5
7,36,5
7,2,4
7,46,5
7,34,4
7,4,4
7,16,3
7,49,3
7,12,5
7,13,4
7,25,4
7,15,3
7,41,2
7,47,5
7,3,4
7,23,4
7,25,3
7,24,4
7,29,4
7,29,5
7,43,5
7,24,2
7,37,3
8,29,5
8,33,3
8,15,2
8,42,5
8,36,4
8,48,5
8,2,4
8,27,2
8,45,3
8,32,2
8,14,5
8,4,5
8,35,3
8,19,4
8,29,5
8,37,3
8,40,5
8,33,2
8,4,3
8,15,5
8,30,2
8,31,5
8,23,4
8,27,3
8,10,2
8,23,3
8,48,3
8,45,4
9,32,3
9,39,4
9,18,4
9,36,4
9,22,3
9,40,5
9,25,3
9,14,2
9,28,4
9,36,4
9,19,4
9,37,3
9,27,3
9,25,5
9,45,3
9,23,3
9,48,3
9,22,4
9,26,4
9,18,4
9,17,4
9,13,3
9,25,5
9,17,4
9,46,5
9,7,4
9,21,5
9,45,2
9,15,5
9,21,2
9,34,5
9,33,2
9,21,5
10,10,3
10,15,4
10,38,5
10,40,2
10,27,5
10,3,4
10,28,4
10,1,5
10,9,3
10,15,5
10,15,3
10,10,5
10,44,5
10,4,4
10,12,5
10,26,5
10,2,3
10,17,3
10,30,3
10,27,3
10,6,4
10,2,3
10,5,3
10,26,2
10,15,2
10,21,2
10,24,5
10,11,4
11,41,2
11,14,2
11,41,3
11,32,3
11,41,3
11,23,5
11,1,5
11,36,2
11,13,4
11,40,2
11,36,4
11,25,3
11,44,4
11,43,2
11,21,4
11,10,4
11,20,4
11,1,3
11,49,2
11,42,5
11,45,2
11,33,5
11,31,2
11,18,3
11,8,3
11,16,2
11,40,5
11,4,2
12,43,3
12,36,3
12,34,2
12,48,3
12,8,5
12,15,5
12,38,5
12,48,4
12,38,4
12,29,5
12,15,5
12,11,4
12,2,5
12,16,4
12,39,2
12,21,5
12,11,4
12,41,4
12,18,5
12,20,2
12,8,5
12,35,5
12,27,5
12,44,3
12,10,5
12,38,5
12,37,3
12,30,3
12,11,5
12,19,2
12,30,5
12,30,4
12,43,3
12,45,2
13,30,2
13,19,2
13,31,2
13,3,5
13,47,4
13,19,5
13,38,2
13,40,5
13,44,2
13,36,5
13,41,4
13,16,4
13,21,5
13,6,2
13,8,2
13,12,3
13,21,2
13,7,5
13,1,2
13,17,2
13,35,4
13,46,3
13,44,2
13,22,5
13,13,4
14,16,5
14,22,3
14,19,4
14,3,2
14,45,4
14,19,2
14,18,4
14,23,5
14,2,5
14,22,3
14,9,2
14,28,3
14,48,2
14,23,5
14,34,2
14,11,3
14,34,5
14,6,2
14,14,2
14,37,4
14,3,3
14,17,2
14,43,5
14,1,5
14,25,4
14,12,2
14,4,3
14,6,4
14,6,4
14,17,5
14,13,5
14,8,4
14,12,3
15,47,3
15,42,3
15,6,5
15,32,5
15,31,3
15,26,2
15,43,5
15,3,5
15,30,3
15,39,5
15,11,4
