,User_Id,Place_Id,Place_Ratings
0,1,23,3
1,1,36,2
2,1,19,5
3,1,3,3
4,1,8,4
5,1,30,2
6,1,30,5
7,1,2,4
8,1,12,2
9,1,16,5
10,1,17,3
11,1,18,5
12,1,21,3
13,1,27,5
14,1,32,5
15,1,10,4
16,1,26,4
17,1,19,3
18,1,15,3
19,1,28,2
20,1,2,3
21,1,12,3
22,1,36,4
23,1,15,5
24,1,28,2
25,1,32,2
26,1,10,4
27,1,34,2
28,1,34,2
29,1,32,2
30,2,26,2
31,2,29,5
32,2,31,4
33,2,25,3
34,2,14,4
35,2,25,3
36,2,14,5
37,2,39,2
38,2,13,2
39,2,34,2
40,2,31,3
41,2,32,2
42,2,38,5
43,2,5,2
44,2,20,3
45,2,18,5
46,2,18,5
47,2,38,4
48,2,18,3
49,2,9,2
50,2,27,2
51,2,27,5
52,2,39,4
53,2,22,2
54,2,4,2
55,2,39,2
56,2,27,5
57,2,22,3
58,2,3,3
59,3,33,5
60,3,2,5
61,3,1,5
62,3,30,3
63,3,10,3
64,3,23,5
65,3,34,2
66,3,19,3
67,3,23,3
68,3,30,2
69,3,25,2
70,3,14,2
71,3,36,3
72,3,2,4
73,3,33,2
74,3,23,4
75,3,5,5
76,3,11,3
77,3,38,4
78,3,36,2
79,3,38,2
80,3,20,2
81,3,24,3
82,3,19,4
83,3,7,5
84,3,38,3
85,3,8,3
86,3,16,3
87,3,23,4
88,3,32,5
89,4,32,2
90,4,28,2
91,4,16,4
92,4,17,4
93,4,14,3
94,4,1,5
95,4,11,3
96,4,2,3
97,4,25,4
98,4,36,3
99,4,37,5
100,4,12,4
101,4,16,3
102,4,38,5
103,4,30,3
104,4,9,2
105,4,7,5
106,4,4,3
107,4,19,2
108,4,11,2
109,4,36,3
110,4,19,5
111,4,27,5
112,4,11,5
113,4,4,2
114,4,39,2
115,5,10,4
116,5,16,2
117,5,28,5
118,5,26,2
119,5,36,4
120,5,22,3
121,5,3,5
122,5,7,5
123,5,4,4
124,5,21,5
125,5,39,3
126,5,19,5
127,5,25,3
128,5,38,3
129,5,22,3
130,5,4,2
131,5,15,5
132,5,15,2
133,5,18,3
134,5,9,2
135,5,34,4
136,5,1,2
137,5,19,4
138,5,11,2
139,5,38,4
140,5,26,4
141,5,33,3
142,5,31,3
143,5,29,4
144,5,9,2
145,5,9,3
146,5,31,3
147,5,39,3
148,6,29,4
149,6,14,2
150,6,1,2
151,6,24,2
152,6,4,3
153,6,23,3
154,6,24,2
155,6,35,5
156,6,1,4
157,6,39,5
158,6,36,2
159,6,27,5
160,6,38,5
161,6,7,5
162,6,3,2
163,6,20,4
164,6,20,4
165,6,10,5
166,6,35,5
167,6,2,5
168,6,20,2
169,6,16,2
170,6,25,4
171,6,17,3
172,6,9,2
173,6,35,5
174,6,3,4
175,6,36,2
176,7,37,5
177,7,27,3
178,7,35,3
179,7,8,3
180,7,34,5
181,7,36,5
182,7,28,4
183,7,33,5
184,7,10,4
185,7,25,4
186,7,36,3
187,7,35,3
188,7,16,5
189,7,7,4
190,7,2,4
191,7,19,3
192,7,11,2
193,7,36,5
194,7,33,4
195,7,8,4
196,7,21,3
197,7,17,4
198,7,36,4
199,7,20,5
200,7,18,5
201,7,13,2
202,7,18,3
203,8,23,5
204,8,9,3
205,8,36,2
206,8,31,5
207,8,36,4
208,8,21,5
209,8,29,4
210,8,23,2
211,8,36,3
212,8,36,2
213,8,16,5
214,8,26,5
215,8,21,3
216,8,29,4
217,8,34,5
218,8,34,3
219,8,31,5
220,8,21,2
221,8,37,3
222,8,33,5
223,8,31,2
224,8,2,5
225,8,5,4
226,8,23,3
227,8,18,2
228,8,25,3
229,8,26,3
230,8,27,4
231,9,29,3
232,9,18,4
233,9,4,4
234,9,7,4
235,9,25,3
236,9,36,5
237,9,29,3
238,9,25,2
239,9,30,4
240,9,7,4
241,9,28,4
242,9,13,3
243,9,19,3
244,9,36,5
245,9,6,3
246,9,17,3
247,9,10,3
248,9,22,4
249,9,15,4
250,9,18,4
251,9,8,4
252,9,14,3
253,9,9,5
254,9,34,4
255,9,20,5
256,9,29,4
257,9,10,5
258,9,5,2
259,9,29,5
260,9,36,2
261,9,7,5
262,9,36,2
263,9,28,5
264,10,12,3
265,10,12,4
266,10,1,5
267,10,3,2
268,10,38,5
269,10,31,4
270,10,11,4
271,10,10,5
272,10,36,3
273,10,27,5
274,10,24,3
275,10,2,5
276,10,31,5
277,10,14,4
278,10,39,5
279,10,27,5
280,10,16,3
281,10,1,3
282,10,32,3
283,10,27,3
284,10,26,4
285,10,5,3
286,10,10,3
287,10,4,2
288,10,18,2
289,10,25,2
290,10,26,5
291,10,16,4
292,11,11,2
293,11,5,2
294,11,30,3
295,11,31,3
296,11,13,3
297,11,37,5
298,11,31,5
299,11,32,2
300,11,28,4
301,11,13,2
302,11,39,4
303,11,32,3
304,11,30,4
305,11,14,2
306,11,28,4
307,11,4,4
308,11,4,4
309,11,2,3
310,11,20,2
311,11,19,5
312,11,20,2
313,11,3,5
314,11,9,2
315,11,31,3
316,11,1,3
317,11,3,2
318,11,19,5
319,11,11,2
320,12,38,3
321,12,35,3
322,12,1,2
323,12,11,3
324,12,27,5
325,12,36,5
326,12,3,5
327,12,5,4
328,12,5,4
329,12,28,5
330,12,33,5
331,12,15,4
332,12,9,5
333,12,18,4
334,12,25,2
335,12,15,5
336,12,3,4
337,12,15,4
338,12,19,5
339,12,5,2
340,12,30,5
341,12,12,5
342,12,36,5
343,12,34,3
344,12,14,5
345,12,25,5
346,12,14,3
347,12,1,3
348,12,1,5
349,12,7,2
350,12,28,5
351,12,14,4
352,12,29,3
353,12,21,2
354,13,10,2
355,13,25,2
356,13,10,2
357,13,25,5
358,13,17,4
359,13,30,5
360,13,2,2
361,13,26,5
