User_Id,Place_Id,Place_Ratings
1,83,3
1,83,2
1,108,5
1,83,3
1,68,4
1,73,2
1,86,5
1,103,4
1,89,2
1,104,5
1,66,3
1,85,5
1,66,3
1,75,5
1,89,5
1,70,4
1,79,4
1,94,3
1,72,3
1,82,2
1,92,3
1,94,3
1,73,4
1,67,5
1,94,2
1,94,2
1,99,4
1,86,2
1,104,2
1,84,2
2,76,2
2,73,5
2,97,4
2,84,3
2,99,4
2,85,3
2,63,5
2,83,2
2,80,2
2,73,2
2,107,3
2,106,2
2,103,5
2,74,2
2,87,3
2,106,5
2,71,5
2,102,4
2,62,3
2,84,2
2,63,2
2,79,5
2,66,4
2,90,2
2,104,2
2,64,2
2,83,5
2,94,3
2,79,3
3,69,5
3,74,5
3,67,5
3,63,3
3,91,3
3,67,5
3,88,2
3,90,3
3,95,3
3,79,2
3,81,2
3,82,2
3,88,3
3,66,4
3,76,2
3,108,4
3,83,5
3,74,3
3,104,4
3,94,2
3,87,2
3,70,2
3,70,3
3,102,4
3,106,5
3,106,3
3,97,3
3,65,3
3,99,4
3,104,5
4,90,2
4,64,2
4,83,4
4,89,4
4,78,3
4,64,5
4,88,3
4,68,3
4,101,4
4,82,3
4,89,5
4,87,4
4,63,3
4,87,5
4,82,3
4,67,2
4,80,5
4,99,3
4,85,2
4,77,2
4,72,3
4,96,5
4,102,5
4,96,5
4,83,2
4,71,2
5,85,4
5,94,2
5,62,5
5,84,2
5,95,4
5,73,3
5,66,5
5,96,5
5,88,4
5,100,5
5,96,3
5,66,5
5,84,3
5,82,3
5,96,3
5,69,2
5,70,5
5,101,2
5,80,3
5,87,2
5,91,4
5,93,2
5,73,4
5,107,2
5,67,4
5,61,4
5,88,3
5,68,3
5,105,4
5,107,2
5,66,3
5,109,3
5,84,3
6,97,4
6,106,2
6,76,2
6,100,2
6,71,3
6,80,3
6,102,2
6,106,5
6,87,4
6,74,5
6,71,2
6,92,5
6,71,5
6,100,5
6,103,2
6,97,4
6,99,4
6,90,5
6,100,5
6,80,5
6,91,2
6,93,2
6,87,4
6,85,3
6,69,2
6,78,5
6,91,4
6,63,2
7,95,5
7,72,3
7,68,3
7,101,3
7,66,5
7,90,5
7,86,4
7,72,5
7,69,4
7,63,4
7,73,3
7,103,3
7,94,5
7,106,4
7,61,4
7,86,3
7,92,2
7,73,5
7,100,4
7,96,4
7,99,3
7,102,4
7,95,4
7,109,5
7,63,5
7,81,2
7,95,3
8,81,5
8,90,3
8,71,2
8,90,5
8,74,4
8,92,5
8,90,4
8,78,2
8,96,3
8,107,2
8,99,5
8,72,5
8,81,3
8,108,4
8,97,5
8,76,3
8,101,5
8,101,2
8,91,3
8,61,5
8,80,2
8,78,5
8,69,4
8,98,3
8,69,2
8,95,3
8,65,3
8,63,4
9,86,3
9,91,4
9,68,4
9,84,4
9,68,3
9,103,5
9,90,3
9,65,2
9,108,4
9,80,4
9,108,4
9,100,3
9,109,3
9,80,5
9,63,3
9,96,3
9,87,3
9,73,4
9,84,4
9,109,4
9,103,4
9,90,3
9,100,5
9,90,4
9,90,5
9,90,4
9,67,5
9,78,2
9,105,5
9,96,2
9,105,5
9,102,2
9,75,5
10,61,3
10,105,4
10,87,5
10,62,2
10,73,5
10,88,4
10,61,4
10,75,5
10,61,3
10,91,5
10,95,3
10,61,5
10,80,5
10,66,4
10,70,5
10,98,5
10,94,3
10,96,3
10,71,3
10,63,3
10,80,4
10,89,3
10,94,3
10,84,2
