User_Id,Place_Id,Place_Ratings
1,29,3
1,28,2
1,9,5
1,30,3
1,40,4
1,45,2
1,31,5
1,46,4
1,55,2
1,57,5
1,4,3
1,26,5
1,10,3
1,16,5
1,25,5
1,51,4
1,7,4
1,50,3
1,21,3
1,9,2
1,18,3
1,15,3
1,50,4
1,25,5
1,29,2
1,37,2
1,17,4
1,51,2
1,15,2
1,44,2
2,58,2
2,32,5
2,38,4
2,26,3
2,16,4
2,49,3
2,31,5
2,46,2
2,38,2
2,49,2
2,40,3
2,34,2
2,9,5
2,4,2
2,13,3
2,5,5
2,19,5
2,12,4
2,13,3
2,17,2
2,40,2
2,35,5
2,49,4
2,10,2
2,1,2
2,27,2
2,28,5
2,27,3
2,1,3
3,52,5
3,49,5
3,32,5
3,47,3
3,40,3
3,51,5
3,23,2
3,22,3
3,18,3
3,1,2
3,8,2
3,36,2
3,27,3
3,8,4
3,22,2
3,29,4
3,9,5
3,10,3
3,40,4
3,15,2
3,3,2
3,24,2
3,47,3
3,31,4
3,51,5
3,53,3
3,36,3
3,54,3
3,52,4
3,52,5
4,50,2
4,59,2
4,11,4
4,41,4
4,49,3
4,1,5
4,43,3
4,10,3
4,41,4
4,9,3
4,23,5
4,32,4
4,33,3
4,32,5
4,12,3
4,57,2
4,41,5
4,20,3
4,53,2
4,46,2
4,4,3
4,17,5
4,50,5
4,19,5
4,55,2
4,51,2
5,22,4
5,45,2
5,32,5
5,55,2
5,21,4
5,8,3
5,18,5
5,6,5
5,1,4
5,5,5
5,4,3
5,25,5
5,30,3
5,45,3
5,16,3
5,59,2
5,47,5
5,29,2
5,28,3
5,23,2
5,32,4
5,19,2
5,36,4
5,30,2
5,54,4
5,22,4
5,26,3
5,34,3
5,42,4
5,49,2
5,27,3
5,22,3
5,10,3
6,9,4
6,5,2
6,11,2
6,20,2
6,37,3
6,17,3
6,3,2
6,45,5
6,56,4
6,32,5
6,58,2
6,13,5
6,28,5
6,49,5
6,9,2
6,15,4
6,4,4
6,31,5
6,55,5
6,58,5
6,38,2
6,9,2
6,11,4
6,41,3
6,24,2
6,44,5
6,41,4
6,2,2
7,48,5
7,14,3
7,11,3
7,39,3
7,33,5
7,16,5
7,6,4
7,2,5
7,34,4
7,20,4
7,41,3
7,17,3
7,58,5
7,28,4
7,4,4
7,38,3
7,41,2
7,51,5
7,37,4
7,26,4
7,37,3
7,40,4
7,56,4
7,46,5
7,19,5
7,13,2
7,38,3
8,8,5
8,59,3
8,35,2
8,42,5
8,22,4
8,36,5
8,4,4
8,44,2
8,49,3
8,41,2
8,38,5
8,48,5
8,57,3
8,45,4
8,56,5
8,24,3
8,4,5
8,38,2
8,27,3
8,9,5
8,8,2
8,39,5
8,6,4
8,28,3
8,48,2
8,29,3
8,38,3
8,48,4
9,8,3
9,40,4
9,9,4
9,49,4
9,19,3
9,39,5
9,43,3
9,31,2
9,54,4
9,57,4
9,57,4
9,48,3
9,43,3
9,13,5
9,9,3
9,59,3
9,55,3
9,3,4
