User_Id,Place_Id,Place_Ratings
1,23,3
1,5,2
1,34,5
1,16,3
1,15,4
1,30,2
1,31,5
1,5,4
1,22,2
1,2,5
1,17,3
1,34,5
1,31,3
1,15,5
1,26,5
1,31,4
1,11,4
1,19,3
1,31,3
1,24,2
1,33,3
1,10,3
1,4,4
1,15,5
1,15,2
1,10,2
1,5,4
1,35,2
1,16,2
1,26,2
2,12,2
2,31,5
2,10,4
2,6,3
2,32,4
2,33,3
2,34,5
2,17,2
2,38,2
2,10,2
2,6,3
2,12,2
2,25,5
2,3,2
2,28,3
2,9,5
2,29,5
2,15,4
2,17,3
2,28,2
2,20,2
2,28,5
2,22,4
2,11,2
2,9,2
2,1,2
2,19,5
2,25,3
2,17,3
3,5,5
3,11,5
3,2,5
3,29,3
3,35,3
3,20,5
3,14,2
3,11,3
3,26,3
3,16,2
3,30,2
3,26,2
3,8,3
3,25,4
3,12,2
3,36,4
3,20,5
3,24,3
3,4,4
3,32,2
3,37,2
3,30,2
3,5,3
3,2,4
3,8,5
3,13,3
3,16,3
3,18,3
3,14,4
3,38,5
4,18,2
4,5,2
4,34,4
4,34,4
4,18,3
4,33,5
4,25,3
4,18,3
4,20,4
4,29,3
4,3,5
4,36,4
4,13,3
4,20,5
4,12,3
4,32,2
4,20,5
4,19,3
4,27,2
4,39,2
4,10,3
4,6,5
4,13,5
4,8,5
4,27,2
4,11,2
5,13,4
5,14,2
5,25,5
5,24,2
5,22,4
5,20,3
5,35,5
5,35,5
5,28,4
5,31,5
5,14,3
5,13,5
5,18,3
5,14,3
5,39,3
5,23,2
5,28,5
5,24,2
5,37,3
5,38,2
5,34,4
5,13,2
5,18,4
5,32,2
5,28,4
5,29,4
5,3,3
5,18,3
5,10,4
5,1,2
5,4,3
5,33,3
5,19,3
6,14,4
6,15,2
6,12,2
6,27,2
6,39,3
6,29,3
6,34,2
6,37,5
6,28,4
6,38,5
6,16,2
6,5,5
6,15,5
6,26,5
6,32,2
6,26,4
6,19,4
6,38,5
6,37,5
6,6,5
6,28,2
6,25,2
6,24,4
6,25,3
6,7,2
6,18,5
6,12,4
6,2,2
7,31,5
7,20,3
7,6,3
7,39,3
7,39,5
7,16,5
7,13,4
7,23,5
7,29,4
7,8,4
7,34,3
7,38,3
7,8,5
7,31,4
7,22,4
7,16,3
7,4,2
7,4,5
7,15,4
7,30,4
7,33,3
7,3,4
7,5,4
7,38,5
7,4,5
7,28,2
7,8,3
8,20,5
8,25,3
8,22,2
8,9,5
8,38,4
8,28,5
8,7,4
8,20,2
8,2,3
8,17,2
8,11,5
8,35,5
8,24,3
8,36,4
8,8,5
8,2,3
8,28,5
8,21,2
8,10,3
8,15,5
8,6,2
8,16,5
8,32,4
8,30,3
8,29,2
8,21,3
8,13,3
8,20,4
9,17,3
9,31,4
9,32,4
9,30,4
9,22,3
9,24,5
9,38,3
9,30,2
9,33,4
9,38,4
9,22,4
9,24,3
9,37,3
9,39,5
9,24,3
9,15,3
9,6,3
9,30,4
9,32,4
9,10,4
9,20,4
9,29,3
9,6,5
9,37,4
9,26,5
9,21,4
9,17,5
9,38,2
9,20,5
9,15,2
9,22,5
9,12,2
9,4,5
10,34,3
10,8,4
10,25,5
10,12,2
10,25,5
10,19,4
10,34,4
10,18,5
10,3,3
10,20,5
10,14,3
10,36,5
10,8,5
10,13,4
10,8,5
10,26,5
10,33,3
10,28,3
10,6,3
10,10,3
10,25,4
10,27,3
10,8,3
10,4,2
10,5,2
10,31,2
10,14,5
10,38,4
11,34,2
11,23,2
11,29,3
11,2,3
11,19,3
11,31,5
11,9,5
11,3,2
11,24,4
11,18,2
11,28,4
11,16,3
11,7,4
11,37,2
11,27,4
11,8,4
11,3,4
11,38,3
11,7,2
11,34,5
11,29,2
11,2,5
11,31,2
11,7,3
11,4,3
11,27,2
11,18,5
11,8,2
12,30,3
12,28,3
12,32,2
12,19,3
12,37,5
12,16,5
12,39,5
12,35,4
12,21,4
12,20,5
12,12,5
12,16,4
12,39,5
12,26,4
12,16,2
12,22,5
12,38,4
12,33,4
12,27,5
12,25,2
12,25,5
12,3,5
12,18,5
12,13,3
12,24,5
12,31,5
12,6,3
12,4,3
12,16,5
12,29,2
12,25,5
12,15,4
12,11,3
12,28,2
13,17,2
13,1,2
13,8,2
13,35,5
13,4,4
13,23,5
13,12,2
13,9,5
13,8,2
13,31,5
13,11,4
13,13,4
13,13,5
13,29,2
13,27,2
13,34,3
13,23,2
13,17,5
13,36,2
13,7,2
13,8,4
13,18,3
13,7,2
13,7,5
13,38,4
14,31,5
14,29,3
14,20,4
14,14,2
14,37,4
14,32,2
14,31,4
14,18,5
14,38,5
14,20,3
14,21,2
14,17,3
14,26,2
14,20,5
14,19,2
14,34,3
14,15,5
14,21,2
14,24,2
14,32,4
14,21,3
14,5,2
14,4,5
14,23,5
14,17,4
14,28,2
14,21,3
14,20,4
14,32,4
14,9,5
14,22,5
14,31,4
14,33,3
15,2,3
15,1,3
15,19,5
15,33,5
15,20,3
15,31,2
15,20,5
15,21,5
15,4,3
15,11,5
15,14,4
15,19,4
15,20,3
15,31,4
15,27,2
15,15,3
15,15,5
15,13,4
15,5,2
15,23,2
15,34,2
15,18,5
15,36,4
15,2,5
15,7,3
15,22,3
15,5,2
15,4,4
15,15,3
15,24,2
15,39,2
15,19,4
15,24,2
15,35,3
15,22,3
15,23,3
16,38,2
16,36,2
16,3,2
16,30,3
16,21,4
16,11,2
16,2,3
16,12,2
16,25,3
16,5,4
16,9,4
16,20,5
16,25,4
16,20,2
16,30,5
16,23,4
16,32,4
16,1,2
16,14,5
16,30,4
16,37,3
16,21,4
16,39,4
16,2,5
16,1,2
16,4,3
16,32,4
16,6,3
16,15,5
17,35,4
17,9,2
17,24,5
17,35,5
17,20,5
17,2,4
17,21,2
17,4,5
17,12,4
17,16,2
17,33,4
17,34,3
17,16,4
17,33,2
17,7,3
17,13,5
17,21,3
17,26,4
17,6,5
17,18,3
17,6,4
17,29,4
17,22,5
17,12,5
17,22,4
17,20,4
17,18,3
17,9,2
17,7,4
17,20,3
17,28,3
17,35,4
17,20,2
17,5,2
17,35,2
17,8,4
17,33,3
17,20,3
17,38,4
17,3,4
17,6,3
17,23,2
17,17,3
17,24,4
17,8,2
17,10,3
18,16,3
18,20,2
18,3,5
18,22,4
18,3,3
18,10,4
18,36,5
18,25,4
18,10,5
18,17,2
18,22,5
18,26,4
18,25,5
18,14,3
18,3,3
18,35,4
18,3,2
18,31,4
18,36,5
18,18,4
18,17,3
18,10,2
18,26,3
18,39,5
18,36,2
18,9,4
18,39,4
18,36,3
18,13,5
18,25,2
18,12,4
18,28,3
18,5,5
18,34,2
19,32,5
19,14,2
19,2,3
19,23,3
19,29,3
19,22,2
19,39,3
19,4,4
19,2,2
19,2,4
19,30,2
19,25,2
19,9,4
19,22,5
19,38,3
19,28,3
19,16,2
19,13,2
19,28,3
19,19,3
19,25,5
19,1,4
19,34,3
19,25,5
19,35,3
19,22,4
19,9,5
19,17,4
19,9,5
19,5,3
19,7,5
19,31,5
19,27,4
19,28,5
19,1,3
19,13,4
19,13,4
19,20,3
19,1,4
19,28,5
19,6,5
19,17,3
19,18,4
19,36,2
20,9,3
20,11,2
20,24,2
20,8,3
20,38,5
20,28,5
20,18,3
20,8,3
20,20,3
20,23,2
20,23,3
20,8,2
20,22,4
20,27,4
20,17,4
20,24,2
20,34,3
20,23,5
20,23,4
20,25,3
20,10,2
20,28,5
20,26,3
20,13,2
20,31,4
20,11,5
20,6,4
20,7,2
20,36,2
20,5,3
20,22,3
20,31,3
20,9,2
20,25,2
21,26,5
21,1,4
21,32,3
21,2,2
21,19,5
21,27,4
21,14,3
21,2,4
21,38,2
21,18,4
21,16,2
21,5,4
21,7,3
21,30,4
21,23,5
21,11,3
21,38,3
21,9,2
21,27,2
21,20,2
21,5,5
21,31,2
22,4,4
22,33,2
22,28,4
22,9,5
22,37,5
22,9,3
22,39,2
22,32,4
22,20,2
22,26,5
22,31,3
22,37,5
22,35,3
22,5,2
22,10,2
22,23,3
22,8,3
22,25,2
22,27,4
22,28,5
22,24,2
22,25,2
22,35,3
22,35,3
22,15,4
22,13,3
22,23,2
22,11,5
22,25,4
23,17,4
23,6,2
23,31,4
23,34,5
23,21,3
23,2,5
23,15,4
23,20,2
23,24,4
23,35,3
23,10,4
23,39,2
23,32,5
23,11,2
23,38,2
23,22,4
23,23,5
23,28,3
23,1,4
23,10,3
23,20,4
23,22,3
23,32,5
23,31,4
23,31,3
23,23,4
23,18,4
23,14,4
23,20,4
23,19,3
23,27,4
23,4,2
24,4,3
24,39,2
24,15,4
24,10,5
24,3,3
24,16,2
24,36,2
24,5,4
24,35,2
24,21,3
24,10,2
24,12,3
24,29,2
24,34,2
24,39,4
24,38,3
24,26,4
24,35,4
24,2,5
24,3,2
24,21,5
24,27,2
24,21,5
24,9,5
25,14,2
25,6,4
25,35,3
25,11,3
25,19,4
25,3,3
25,12,5
25,23,4
25,22,3
25,6,5
25,33,4
25,18,5
25,2,3
25,23,4
25,38,3
25,35,3
25,28,4
25,23,5
25,25,2
25,10,3
25,12,3
25,26,3
25,33,5
25,11,2
25,35,4
25,20,3
25,18,3
25,23,3
25,25,2
25,14,4
25,30,4
25,39,5
25,29,4
26,21,2
26,15,5
26,26,4
26,14,3
26,30,3
26,37,5
26,31,3
26,26,5
26,29,2
26,18,5
26,38,5
26,31,3
26,24,3
26,5,3
26,28,5
26,35,3
26,38,5
26,19,3
26,1,3
26,33,2
26,30,5
26,7,5
26,38,2
26,33,3
26,21,3
26,22,5
26,36,4
26,9,5
26,10,3
26,8,5
26,31,4
26,23,5
26,25,4
26,15,5
26,28,4
27,8,4
27,3,3
27,23,3
27,8,5
27,16,5
27,1,3
27,17,3
27,4,4
27,10,2
27,30,4
27,39,4
27,39,3
27,30,3
27,6,5
27,17,5
27,26,2
27,4,2
27,39,5
27,15,3
27,13,2
27,22,3
27,28,2
27,28,2
27,2,5
27,26,4
27,35,3
27,36,5
27,5,2
27,15,2
27,23,5
27,14,4
27,32,3
27,39,2
27,1,4
27,20,3
27,29,3
27,38,4
27,26,3
27,1,3
28,24,5
28,28,2
28,26,4
28,24,5
28,29,5
28,7,3
28,16,4
28,11,4
28,28,4
28,28,4
28,39,2
28,34,4
28,27,5
28,4,5
28,29,3
28,20,2
28,36,4
28,10,2
28,14,2
28,28,4
28,7,5
28,27,3
28,7,5
28,15,5
28,27,5
28,11,4
28,26,4
28,26,4
28,1,5
28,15,3
28,13,5
28,37,3
28,30,5
28,14,3
28,18,4
28,23,2
28,4,4
28,11,2
28,7,4
28,31,5
28,36,5
29,30,5
29,14,3
29,4,2
29,11,3
29,20,5
29,1,4
29,4,5
29,27,5
29,5,5
29,17,3
29,30,4
29,19,2
29,31,5
29,6,3
29,6,2
29,15,3
29,9,5
29,25,3
29,3,2
29,5,4
29,38,2
29,35,3
29,32,4
29,3,3
29,22,3
29,14,2
29,24,3
29,25,4
29,38,5
29,39,3
29,12,3
29,22,3
29,35,2
29,35,4
30,9,2
30,28,3
30,32,3
30,19,2
30,31,4
30,2,2
30,34,5
30,14,2
30,17,4
30,4,2
30,1,3
30,22,5
30,14,4
30,19,3
30,7,3
30,14,2
30,37,2
30,26,2
30,13,4
30,26,4
30,2,2
30,20,2
30,33,4
30,28,3
30,33,5
30,37,5
30,35,2
30,23,5
30,27,2
30,36,3
30,14,5
30,35,5
30,2,2
30,26,5
30,23,4
31,10,5
31,12,4
31,13,4
31,37,5
31,19,2
31,20,2
31,6,5
31,27,3
31,37,5
31,14,2
31,12,2
31,38,3
31,18,3
31,35,3
31,5,5
31,34,3
31,21,4
31,12,2
31,6,2
31,3,2
31,9,5
31,36,5
31,32,2
31,14,2
31,4,2
31,23,3
31,33,4
31,34,2
31,4,3
31,15,2
31,13,5
31,4,3
31,4,4
31,11,3
31,9,2
31,14,2
31,24,5
31,1,3
31,18,4
31,2,2
31,6,4
32,7,4
32,24,3
32,6,3
32,4,3
32,38,2
32,4,3
32,23,5
32,15,2
32,11,3
32,38,3
32,14,5
32,16,4
32,33,3
32,7,4
32,39,2
32,29,5
